customer_id,customer_name,email,city,state,age,membership_tier,join_date
1,Customer_1,customer1@email.com,San Antonio,PA,62,Silver,2020-08-16
2,Customer_2,customer2@email.com,Houston,NY,70,Silver,2020-02-21
3,Customer_3,customer3@email.com,San Diego,TX,18,Gold,2021-07-17
4,Customer_4,customer4@email.com,Phoenix,PA,33,Bronze,2021-05-16
5,Customer_5,customer5@email.com,San Antonio,IL,78,Bronze,2021-04-02
6,Customer_6,customer6@email.com,San Jose,TX,56,Bronze,2020-10-12
7,Customer_7,customer7@email.com,Chicago,TX,22,Gold,2020-07-28
8,Customer_8,customer8@email.com,San Antonio,IL,39,Silver,2020-06-27
9,Customer_9,customer9@email.com,San Diego,CA,46,Bronze,2022-05-14
10,Customer_10,customer10@email.com,Phoenix,IL,72,Bronze,2020-03-06
11,Customer_11,customer11@email.com,Houston,IL,20,Gold,2020-03-02
12,Customer_12,customer12@email.com,San Diego,TX,29,Bronze,2020-07-10
13,Customer_13,customer13@email.com,San Diego,TX,43,Gold,2021-03-23
14,Customer_14,customer14@email.com,Chicago,TX,33,Gold,2021-04-21
15,Customer_15,customer15@email.com,Philadelphia,TX,68,Bronze,2022-10-31
16,Customer_16,customer16@email.com,Phoenix,NY,54,Bronze,2020-02-24
17,Customer_17,customer17@email.com,Los Angeles,CA,39,Platinum,2021-02-11
18,Customer_18,customer18@email.com,San Diego,TX,74,Bronze,2022-05-09
19,Customer_19,customer19@email.com,Philadelphia,CA,46,Bronze,2021-03-27
20,Customer_20,customer20@email.com,Los Angeles,CA,31,Gold,2022-07-08
21,Customer_21,customer21@email.com,Phoenix,NY,45,Platinum,2021-07-23
22,Customer_22,customer22@email.com,New York,TX,22,Platinum,2020-01-14
23,Customer_23,customer23@email.com,San Jose,TX,64,Gold,2020-11-22
24,Customer_24,customer24@email.com,Philadelphia,CA,66,Bronze,2022-05-15
25,Customer_25,customer25@email.com,Dallas,TX,47,Bronze,2021-11-27
26,Customer_26,customer26@email.com,New York,CA,63,Gold,2021-07-23
27,Customer_27,customer27@email.com,San Jose,IL,79,Silver,2020-11-14
28,Customer_28,customer28@email.com,Chicago,TX,69,Silver,2021-03-16
29,Customer_29,customer29@email.com,San Antonio,CA,22,Platinum,2021-11-20
30,Customer_30,customer30@email.com,Houston,TX,29,Bronze,2020-07-28
31,Customer_31,customer31@email.com,Dallas,TX,33,Silver,2020-07-08
32,Customer_32,customer32@email.com,Chicago,NY,43,Bronze,2022-02-17
33,Customer_33,customer33@email.com,Phoenix,CA,43,Silver,2020-07-17
34,Customer_34,customer34@email.com,Chicago,NY,65,Bronze,2022-01-05
35,Customer_35,customer35@email.com,San Antonio,AZ,38,Bronze,2021-12-05
36,Customer_36,customer36@email.com,Phoenix,AZ,56,Bronze,2021-06-25
37,Customer_37,customer37@email.com,Dallas,TX,53,Silver,2020-03-29
38,Customer_38,customer38@email.com,San Antonio,TX,50,Gold,2022-07-29
39,Customer_39,customer39@email.com,Los Angeles,TX,79,Silver,2020-09-12
40,Customer_40,customer40@email.com,Houston,IL,47,Platinum,2022-02-14
41,Customer_41,customer41@email.com,Dallas,IL,54,Bronze,2020-06-10
42,Customer_42,customer42@email.com,Los Angeles,IL,40,Bronze,2021-08-23
43,Customer_43,customer43@email.com,San Jose,TX,75,Gold,2022-01-10
44,Customer_44,customer44@email.com,Dallas,CA,27,Bronze,2021-01-28
45,Customer_45,customer45@email.com,San Jose,PA,71,Platinum,2020-05-22
46,Customer_46,customer46@email.com,Phoenix,CA,22,Bronze,2020-04-03
47,Customer_47,customer47@email.com,Los Angeles,NY,53,Platinum,2021-04-11
48,Customer_48,customer48@email.com,Houston,CA,51,Bronze,2021-08-15
49,Customer_49,customer49@email.com,San Antonio,TX,69,Gold,2020-06-12
50,Customer_50,customer50@email.com,San Diego,NY,48,Silver,2021-04-21
51,Customer_51,customer51@email.com,Chicago,CA,27,Platinum,2020-07-25
52,Customer_52,customer52@email.com,New York,TX,75,Bronze,2022-02-17
53,Customer_53,customer53@email.com,Houston,PA,36,Silver,2021-07-23
54,Customer_54,customer54@email.com,Los Angeles,CA,75,Platinum,2022-07-17
55,Customer_55,customer55@email.com,San Diego,TX,49,Silver,2022-01-17
56,Customer_56,customer56@email.com,Houston,IL,18,Silver,2020-11-29
57,Customer_57,customer57@email.com,Los Angeles,TX,73,Silver,2022-01-28
58,Customer_58,customer58@email.com,Philadelphia,IL,22,Silver,2021-12-28
